state,county,fips,asian_prop
Alabama,State Total,1000,
Alaska,Wade Hampton Census Area,2270,0.2
Alabama,Autauga County,1001,0.9
Alabama,Baldwin County,1003,0.7
Alabama,Barbour County,1005,0.4
Alabama,Bibb County,1007,0.1
Alabama,Blount County,1009,0.2
Alabama,Bullock County,1011,0.2
Alabama,Butler County,1013,0.8
Alabama,Calhoun County,1015,0.7
Alabama,Chambers County,1017,0.5
Alabama,Cherokee County,1019,0.2
Alabama,Chilton County,1021,0.3
Alabama,Choctaw County,1023,0.1
Alabama,Clarke County,1025,0.3
Alabama,Clay County,1027,0.2
Alabama,Cleburne County,1029,0.2
Alabama,Coffee County,1031,1.3
Alabama,Colbert County,1033,0.4
Alabama,Conecuh County,1035,0.1
Alabama,Coosa County,1037,0.1
Alabama,Covington County,1039,0.4
Alabama,Crenshaw County,1041,1.4
Alabama,Cullman County,1043,0.4
Alabama,Dale County,1045,1
Alabama,Dallas County,1047,0.3
Alabama,DeKalb County,1049,0.2
Alabama,Elmore County,1051,0.6
Alabama,Escambia County,1053,0.2
Alabama,Etowah County,1055,0.6
Alabama,Fayette County,1057,0.2
Alabama,Franklin County,1059,0.2
Alabama,Geneva County,1061,0.2
Alabama,Greene County,1063,0.2
Alabama,Hale County,1065,0.2
Alabama,Henry County,1067,0.3
Alabama,Houston County,1069,0.8
Alabama,Jackson County,1071,0.3
Alabama,Jefferson County,1073,1.4
Alaska,Dillingham Census Area,2070,0.7
Alabama,Lamar County,1075,0
Alabama,Lauderdale County,1077,0.7
Alabama,Lawrence County,1079,0.1
Alabama,Lee County,1081,2.6
Alabama,Limestone County,1083,1.1
Alabama,Lowndes County,1085,0.1
Alabama,Macon County,1087,0.4
Alabama,Marengo County,1091,0.3
Alabama,Madison County,1089,2.4
Alabama,Marion County,1093,0.2
Alabama,Marshall County,1095,0.5
Alabama,Monroe County,1099,0.3
Alabama,Mobile County,1097,1.8
Alabama,Perry County,1105,0.3
Alabama,Montgomery County,1101,2.1
Alabama,Morgan County,1103,0.6
Alabama,Pickens County,1107,0.2
Alabama,Pike County,1109,2
Alabama,Randolph County,1111,0.2
Alabama,Russell County,1113,0.4
Alabama,St. Clair County,1115,0.6
Alabama,Winston County,1133,0.2
Alabama,Shelby County,1117,1.9
Alabama,Sumter County,1119,0.2
Alabama,Talladega County,1121,0.4
Alabama,Tallapoosa County,1123,0.5
Alabama,Tuscaloosa County,1125,1.2
Alabama,Walker County,1127,0.3
Alabama,Washington County,1129,0.1
Alabama,Wilcox County,1131,0
Alaska,State Total,2000,
Alaska,Aleutians East Borough,2013,35.4
Alaska,Aleutians West Census Area,2016,28.3
Alaska,Anchorage Municipality,2020,8
Alaska,Bethel Census Area,2050,0.9
Alaska,Bristol Bay Borough,2060,0.8
Alaska,Fairbanks North Star Borough,2090,2.6
Alaska,Haines Borough,2100,0.5
Alaska,Juneau City and Borough,2110,6
Alaska,Kodiak Island Borough,2150,19.3
Alaska,Kenai Peninsula Borough,2122,1.1
Alaska,Lake and Peninsula Borough,2164,0.4
Alaska,Matanuska-Susitna Borough,2170,1.2
Alaska,Nome Census Area,2180,0.9
Alaska,North Slope Borough,2185,4.4
Alaska,Northwest Arctic Borough,2188,0.6
Alaska,Sitka City and Borough,2220,5.7
Alaska,Valdez-Cordova Census Area,2261,3.6
Alaska,Yakutat City and Borough,2282,4.1
Alaska,Denali Yukon-Koyukuk Southeas Fairbanks Comp,2991,
Alaska,Wrangell Petersburg Prince of Wales Ketchikan Comp,2992,
Alaska,Skagway Hoonah-Angoon Yakutat-Angoon Comp,2993,
Arizona,State Total,4000,
Colorado,Sedgwick County,8115,0.7
Arizona,Apache County,4001,0.3
Arkansas,Boone County,5009,0.4
Arizona,Cochise County,4003,1.8
Arizona,Coconino County,4005,1.3
Arizona,Gila County,4007,0.5
Arkansas,Bradley County,5011,0.2
Arizona,Graham County,4009,0.5
Arizona,Greenlee County,4011,0.5
Arizona,La Paz County,4012,0.4
Arkansas,Calhoun County,5013,0.2
Arizona,Maricopa County,4013,3.4
Colorado,Washington County,8121,0.2
Arizona,Mohave County,4015,1
Arizona,Navajo County,4017,0.5
Arizona,Pima County,4019,2.5
Georgia,Johnson County,13167,0.2
